"Match_date","Match_number","Match_venue","Match_time","Toss_winner","Toss_decision","Team1","Team1_score","Team2","Team2_score","Winning_team","Winning_margin"
"Apr 19, 2012","24th match","MA Chidambaram Stadium, Chepauk, Chennai","night","Pune Warriors","field","Chennai Super Kings","164/5","Pune Warriors","151/7","Chennai Super Kings","13 runs"
"Apr 20, 2012","25th match","Punjab Cricket Association Stadium, Mohali, Chandigarh","night","Royal Challengers Bangalore","field","Kings XI Punjab","163/6","RCB","166/5","Royal Challengers Bangalore","5 wickets (with 3 balls remaining)"
"Apr 21, 2012","26th match","MA Chidambaram Stadium, Chepauk, Chennai","day/night","Rajasthan Royals","bat","Rajasthan Royals","146/4","Chennai Super Kings","147/3","Chennai Super Kings","7 wickets (with 0 balls remaining)"
"Apr 21, 2012","27th match","Feroz Shah Kotla, Delhi","night","Delhi Daredevils","field","Pune Warriors","192/3","Delhi Daredevils","172/7","Pune Warriors","20 runs"
"Apr 22, 2012","28th match","Wankhede Stadium, Mumbai","day/night","Mumbai Indians","bat","Mumbai Indians","163/6","Kings XI Punjab","164/4","Kings XI Punjab","6 wickets (with 3 balls remaining)"
"Apr 22, 2012","29th match","Barabati Stadium, Cuttack","night","Kolkata Knight Riders","field","Deccan Chargers","126/7","Kolkata Knight Riders","127/5","Kolkata Knight Riders","5 wickets (with 6 balls remaining)"
"Apr 23, 2012","30th match","Sawai Mansingh Stadium, Jaipur","night","Rajasthan Royals","field","RCB","189/3","Rajasthan Royals","143/7","Royal Challengers Bangalore","46 runs"
"Apr 24, 2012","31st match","Subrata Roy Sahara Stadium, Pune","day/night","Pune Warriors","bat","Pune Warriors","146/2","Delhi Daredevils","148/2","Delhi Daredevils","8 wickets (with 24 balls remaining)"
"Apr 24, 2012","32nd match","Eden Gardens, Kolkata","night","no toss","no","Kolkata Knight Riders","","Deccan Chargers","","Match abandoned without a ball bowled",""
"Apr 25, 2012","33rd match","Punjab Cricket Association Stadium, Mohali, Chandigarh","day/night","Kings XI Punjab","bat","Kings XI Punjab","168/3","Mumbai Indians","171/6","Mumbai Indians","4 wickets (with 1 ball remaining)"
"Apr 25, 2012","34th match","M Chinnaswamy Stadium, Bangalore","night","Royal Challengers Bangalore","field","RCB","","Chennai Super Kings","","No result (abandoned with a toss)",""
"Apr 26, 2012","35th match","Subrata Roy Sahara Stadium, Pune","night","Deccan Chargers","bat","Deccan Chargers","177/4","Pune Warriors","159/7","Deccan Chargers","18 runs"
"Apr 27, 2012","36th match","Feroz Shah Kotla, Delhi","night","Mumbai Indians","field","Delhi Daredevils","207/5","Mumbai Indians","170/9","Delhi Daredevils","37 runs"
"Apr 28, 2012","37th match","MA Chidambaram Stadium, Chepauk, Chennai","day/night","Kings XI Punjab","bat","Kings XI Punjab","156/8","Chennai Super Kings","149/8","Kings XI Punjab","7 runs"
"Apr 28, 2012","38th match","Eden Gardens, Kolkata","night","Kolkata Knight Riders","bat","Kolkata Knight Riders","190/4","RCB","143/6","Kolkata Knight Riders","47 runs"
"Apr 29, 2012","39th match","Feroz Shah Kotla, Delhi","day/night","Delhi Daredevils","bat","Delhi Daredevils","152/6","Rajasthan Royals","151/3","Delhi Daredevils","1 run"
"Apr 29, 2012","40th match","Wankhede Stadium, Mumbai","night","Mumbai Indians","field","Deccan Chargers","100","Mumbai Indians","101/5","Mumbai Indians","5 wickets (with 11 balls remaining)"
"Apr 30, 2012","41st match","MA Chidambaram Stadium, Chepauk, Chennai","night","Chennai Super Kings","bat","Chennai Super Kings","139/5","Kolkata Knight Riders","140/5","Kolkata Knight Riders","5 wickets (with 2 balls remaining)"
"May 1, 2012","42nd match","Barabati Stadium, Cuttack","day/night","Deccan Chargers","bat","Deccan Chargers","186/4","Pune Warriors","173/5","Deccan Chargers","13 runs"
"May 1, 2012","43rd match","Sawai Mansingh Stadium, Jaipur","night","Rajasthan Royals","bat","Rajasthan Royals","141/6","Delhi Daredevils","144/4","Delhi Daredevils","6 wickets (with 28 balls remaining)"
"May 2, 2012","44th match","M Chinnaswamy Stadium, Bangalore","night","Kings XI Punjab","field","RCB","158/5","Kings XI Punjab","163/6","Kings XI Punjab","4 wickets (with 1 ball remaining)"
"May 3, 2012","45th match","Subrata Roy Sahara Stadium, Pune","night","Mumbai Indians","bat","Mumbai Indians","120/9","Pune Warriors","119/6","Mumbai Indians","1 run"
"May 4, 2012","46th match","MA Chidambaram Stadium, Chepauk, Chennai","night","Chennai Super Kings","bat","Chennai Super Kings","160/6","Deccan Chargers","150/5","Chennai Super Kings","10 runs"
"May 5, 2012","47th match","Eden Gardens, Kolkata","day/night","Kolkata Knight Riders","bat","Kolkata Knight Riders","150/5","Pune Warriors","143/8","Kolkata Knight Riders","7 runs"
"May 5, 2012","48th match","Punjab Cricket Association Stadium, Mohali, Chandigarh","night","Rajasthan Royals","bat","Rajasthan Royals","177/6","Kings XI Punjab","134/8","Rajasthan Royals","43 runs"
"May 6, 2012","49th match","Wankhede Stadium, Mumbai","day/night","Mumbai Indians","field","Chennai Super Kings","173/8","Mumbai Indians","174/8","Mumbai Indians","2 wickets (with 0 balls remaining)"
"May 6, 2012","50th match","M Chinnaswamy Stadium, Bangalore","night","Royal Challengers Bangalore","field","Deccan Chargers","181/2","RCB","185/5","Royal Challengers Bangalore","5 wickets (with 7 balls remaining)"
"May 7, 2012","51st match","Feroz Shah Kotla, Delhi","night","Delhi Daredevils","bat","Delhi Daredevils","153/9","Kolkata Knight Riders","154/4","Kolkata Knight Riders","6 wickets (with 8 balls remaining)"
"May 8, 2012","52nd match","Subrata Roy Sahara Stadium, Pune","day/night","Pune Warriors","bat","Pune Warriors","125/6","Rajasthan Royals","126/3","Rajasthan Royals","7 wickets (with 22 balls remaining)"
"May 8, 2012","53rd match","Rajiv Gandhi International Stadium, Uppal, Hyderabad","night","Deccan Chargers","field","Kings XI Punjab","170/5","Deccan Chargers","145/8","Kings XI Punjab","25 runs"
"May 9, 2012","54th match","Wankhede Stadium, Mumbai","night","Royal Challengers Bangalore","field","Mumbai Indians","141/6","RCB","142/1","Royal Challengers Bangalore","9 wickets (with 12 balls remaining)"
"May 10, 2012","55th match","Rajiv Gandhi International Stadium, Uppal, Hyderabad","day/night","Deccan Chargers","bat","Deccan Chargers","187/4","Delhi Daredevils","193/1","Delhi Daredevils","9 wickets (with 20 balls remaining)"
"May 10, 2012","56th match","Sawai Mansingh Stadium, Jaipur","night","Chennai Super Kings","field","Rajasthan Royals","126/6","Chennai Super Kings","127/6","Chennai Super Kings","4 wickets (with 11 balls remaining)"
"May 11, 2012","57th match","Subrata Roy Sahara Stadium, Pune","night","Pune Warriors","field","RCB","173/3","Pune Warriors","138/9","Royal Challengers Bangalore","35 runs"
"May 12, 2012","58th match","Eden Gardens, Kolkata","day/night","Mumbai Indians","bat","Mumbai Indians","182/1","Kolkata Knight Riders","155/4","Mumbai Indians","27 runs"
"May 12, 2012","59th match","MA Chidambaram Stadium, Chepauk, Chennai","night","Chennai Super Kings","field","Delhi Daredevils","114/5","Chennai Super Kings","115/1","Chennai Super Kings","9 wickets (with 28 balls remaining)"
"May 13, 2012","60th match","Sawai Mansingh Stadium, Jaipur","day/night","Rajasthan Royals","bat","Rajasthan Royals","170/4","Pune Warriors","125/9","Rajasthan Royals","45 runs"
"May 13, 2012","61st match","Punjab Cricket Association Stadium, Mohali, Chandigarh","night","Deccan Chargers","bat","Deccan Chargers","190/4","Kings XI Punjab","194/6","Kings XI Punjab","4 wickets (with 0 balls remaining)"
"May 14, 2012","62nd match","M Chinnaswamy Stadium, Bangalore","day/night","Mumbai Indians","field","RCB","171/6","Mumbai Indians","173/5","Mumbai Indians","5 wickets (with 2 balls remaining)"
"May 14, 2012","63rd match","Eden Gardens, Kolkata","night","Chennai Super Kings","field","Kolkata Knight Riders","158/6","Chennai Super Kings","160/5","Chennai Super Kings","5 wickets (with 0 balls remaining)"
"May 15, 2012","64th match","Feroz Shah Kotla, Delhi","night","Kings XI Punjab","bat","Kings XI Punjab","136/8","Delhi Daredevils","140/5","Delhi Daredevils","5 wickets (with 6 balls remaining)"
"May 16, 2012","65th match","Wankhede Stadium, Mumbai","night","Mumbai Indians","field","Kolkata Knight Riders","140/7","Mumbai Indians","108","Kolkata Knight Riders","32 runs"
"May 17, 2012","66th match","Himachal Pradesh Cricket Association Stadium, Dharamsala","day/night","Kings XI Punjab","field","Chennai Super Kings","120/7","Kings XI Punjab","123/4","Kings XI Punjab","6 wickets (with 21 balls remaining)"
"May 17, 2012","67th match","Feroz Shah Kotla, Delhi","night","Delhi Daredevils","field","RCB","215/1","Delhi Daredevils","194/9","Royal Challengers Bangalore","21 runs"
"May 18, 2012","68th match","Rajiv Gandhi International Stadium, Uppal, Hyderabad","night","Rajasthan Royals","bat","Rajasthan Royals","126/8","Deccan Chargers","128/5","Deccan Chargers","5 wickets (with 8 balls remaining)"
"May 19, 2012","69th match","Himachal Pradesh Cricket Association Stadium, Dharamsala","day/night","Delhi Daredevils","field","Kings XI Punjab","141/8","Delhi Daredevils","145/4","Delhi Daredevils","6 wickets (with 10 balls remaining)"
"May 19, 2012","70th match","Subrata Roy Sahara Stadium, Pune","night","Kolkata Knight Riders","bat","Kolkata Knight Riders","136/4","Pune Warriors","102/8","Kolkata Knight Riders","34 runs"
"May 20, 2012","71st match","Rajiv Gandhi International Stadium, Uppal, Hyderabad","day/night","Royal Challengers Bangalore","field","Deccan Chargers","132/7","RCB","123/9","Deccan Chargers","9 runs"
"May 20, 2012","72nd match","Sawai Mansingh Stadium, Jaipur","night","Rajasthan Royals","bat","Rajasthan Royals","162/6","Mumbai Indians","163/0","Mumbai Indians","10 wickets (with 12 balls remaining)"
"May 22, 2012","1st Qualifying Match","Subrata Roy Sahara Stadium, Pune","night","Kolkata Knight Riders","bat","Kolkata Knight Riders","162/4","Delhi Daredevils","144/8","Kolkata Knight Riders","18 runs"
"May 23, 2012","Elimination Final","M Chinnaswamy Stadium, Bangalore","night","Mumbai Indians","field","Chennai Super Kings","187/5","Mumbai Indians","149/9","Chennai Super Kings","38 runs"
"May 25, 2012","2nd Qualifying Match","MA Chidambaram Stadium, Chepauk, Chennai","night","Delhi Daredevils","field","Chennai Super Kings","222/5","Delhi Daredevils","136","Chennai Super Kings","86 runs"
"May 27, 2012","Final","MA Chidambaram Stadium, Chepauk, Chennai","night","Chennai Super Kings","bat","Chennai Super Kings","190/3","Kolkata Knight Riders","192/5","Kolkata Knight Riders","5 wickets (with 2 balls remaining)"
"Apr 3, 2013","1st match","Eden Gardens, Kolkata","night","Kolkata Knight Riders","field","Delhi Daredevils","128","Kolkata Knight Riders","129/4","Kolkata Knight Riders","6 wickets (with 8 balls remaining)"
"Apr 4, 2013","2nd match","M Chinnaswamy Stadium, Bangalore","night","Mumbai Indians","field","RCB","156/5","Mumbai Indians","154/5","Royal Challengers Bangalore","2 runs"
"Apr 5, 2013","3rd match","Rajiv Gandhi International Stadium, Uppal, Hyderabad","night","Pune Warriors","field","Sunrisers Hyderabad","126/6","Pune Warriors","104","Sunrisers Hyderabad","22 runs"
"Apr 6, 2013","4th match","Feroz Shah Kotla, Delhi","day/night","Rajasthan Royals","bat","Rajasthan Royals","165/7","Delhi Daredevils","160/6","Rajasthan Royals","5 runs"
"Apr 6, 2013","5th match","MA Chidambaram Stadium, Chepauk, Chennai","night","Mumbai Indians","bat","Mumbai Indians","148/6","Chennai Super Kings","139/9","Mumbai Indians","9 runs"
"Apr 7, 2013","6th match","Subrata Roy Sahara Stadium, Pune","day/night","Pune Warriors","bat","Pune Warriors","99/9","Kings XI Punjab","100/2","Kings XI Punjab","8 wickets (with 46 balls remaining)"
"Apr 7, 2013","7th match","Rajiv Gandhi International Stadium, Uppal, Hyderabad","night","Royal Challengers Bangalore","bat","RCB","130/8","Sunrisers Hyderabad","130/7","Match tied (Sunrisers Hyderabad",""
"Apr 8, 2013","8th match","Sawai Mansingh Stadium, Jaipur","night","Kolkata Knight Riders","field","Rajasthan Royals","144/6","Kolkata Knight Riders","125","Rajasthan Royals","19 runs"
"Apr 9, 2013","9th match","M Chinnaswamy Stadium, Bangalore","day/night","Sunrisers Hyderabad","bat","Sunrisers Hyderabad","161/6","RCB","162/3","Royal Challengers Bangalore","7 wickets (with 14 balls remaining)"
"Apr 9, 2013","10th match","Wankhede Stadium, Mumbai","night","Mumbai Indians","bat","Mumbai Indians","209/5","Delhi Daredevils","165/9","Mumbai Indians","44 runs"
"Apr 10, 2013","11th match","Punjab Cricket Association Stadium, Mohali, Chandigarh","night","Chennai Super Kings","field","Kings XI Punjab","138","Chennai Super Kings","139/0","Chennai Super Kings","10 wickets (with 16 balls remaining)"
"Apr 11, 2013","12th match","M Chinnaswamy Stadium, Bangalore","day/night","Royal Challengers Bangalore","field","Kolkata Knight Riders","154/8","RCB","158/2","Royal Challengers Bangalore","8 wickets (with 15 balls remaining)"
"Apr 11, 2013","13th match","Subrata Roy Sahara Stadium, Pune","night","Rajasthan Royals","bat","Rajasthan Royals","145/5","Pune Warriors","148/3","Pune Warriors","7 wickets (with 8 balls remaining)"
"Apr 12, 2013","14th match","Feroz Shah Kotla, Delhi","night","Delhi Daredevils","bat","Delhi Daredevils","114/8","Sunrisers Hyderabad","115/7","Sunrisers Hyderabad","3 wickets (with 4 balls remaining)"
"Apr 13, 2013","15th match","Wankhede Stadium, Mumbai","day/night","Mumbai Indians","bat","Mumbai Indians","183/3","Pune Warriors","142/8","Mumbai Indians","41 runs"
"Apr 13, 2013","16th match","MA Chidambaram Stadium, Chepauk, Chennai","night","Chennai Super Kings","field","RCB","165/6","Chennai Super Kings","166/6","Chennai Super Kings","4 wickets (with 1 ball remaining)"
"Apr 14, 2013","17th match","Eden Gardens, Kolkata","day/night","Kolkata Knight Riders","bat","Kolkata Knight Riders","180/4","Sunrisers Hyderabad","132/7","Kolkata Knight Riders","48 runs"
"Apr 14, 2013","18th match","Sawai Mansingh Stadium, Jaipur","night","Rajasthan Royals","field","Kings XI Punjab","124","Rajasthan Royals","126/4","Rajasthan Royals","6 wickets (with 4 balls remaining)"
"Apr 15, 2013","19th match","MA Chidambaram Stadium, Chepauk, Chennai","night","Pune Warriors","bat","Pune Warriors","159/5","Chennai Super Kings","135/8","Pune Warriors","24 runs"
"Apr 16, 2013","20th match","Punjab Cricket Association Stadium, Mohali, Chandigarh","day/night","Kolkata Knight Riders","field","Kings XI Punjab","157/9","Kolkata Knight Riders","153/9","Kings XI Punjab","4 runs"
"Apr 16, 2013","21st match","M Chinnaswamy Stadium, Bangalore","night","Royal Challengers Bangalore","field","Delhi Daredevils","152/5","RCB","152/7","Match tied (Royal Challengers Bangalore",""
"Apr 17, 2013","22nd match","Subrata Roy Sahara Stadium, Pune","day/night","Pune Warriors","field","Sunrisers Hyderabad","119/8","Pune Warriors","108","Sunrisers Hyderabad","11 runs"
"Apr 17, 2013","23rd match","Sawai Mansingh Stadium, Jaipur","night","Rajasthan Royals","bat","Rajasthan Royals","179/3","Mumbai Indians","92","Rajasthan Royals","87 runs"
