"Match_date","Match_number","Match_venue","Match_time","Toss_winner","Toss_decision","Team1","Team1_score","Team2","Team2_score","Winning_team","Winning_margin"
"May 10, 2015","47th match","MA Chidambaram Stadium, Chepauk, Chennai","night","Chennai Super Kings","bat","Chennai Super Kings","157/5","Rajasthan Royals","145/9","Chennai Super Kings","12 runs"
"May 11, 2015","48th match","Rajiv Gandhi International Stadium, Uppal, Hyderabad","night","Sunrisers Hyderabad","bat","Sunrisers Hyderabad","185/5","Kings XI Punjab","180/7","Sunrisers Hyderabad","5 runs"
"May 12, 2015","49th match","Shaheed Veer Narayan Singh International Stadium, Raipur","night","Chennai Super Kings","bat","Chennai Super Kings","119/6","Delhi Daredevils","120/4","Delhi Daredevils","6 wickets (with 20 balls remaining)"
"May 13, 2015","50th match","Punjab Cricket Association Stadium, Mohali, Chandigarh","night","Royal Challengers Bangalore","field","Kings XI Punjab","106/6","RCB","84/6","Kings XI Punjab","22 runs"
"May 14, 2015","51st match","Wankhede Stadium, Mumbai","night","Kolkata Knight Riders","field","Mumbai Indians","171/4","Kolkata Knight Riders","166/7","Mumbai Indians","5 runs"
"May 15, 2015","52nd match","Rajiv Gandhi International Stadium, Uppal, Hyderabad","night","Sunrisers Hyderabad","bat","Sunrisers Hyderabad","135/3","RCB","83/4","Royal Challengers Bangalore","6 wickets (with 1 ball remaining) (D/L method)"
"May 16, 2015","53rd match","Punjab Cricket Association Stadium, Mohali, Chandigarh","day/night","Kings XI Punjab","bat","Kings XI Punjab","130/7","Chennai Super Kings","134/3","Chennai Super Kings","7 wickets (with 19 balls remaining)"
"May 16, 2015","54th match","Brabourne Stadium, Mumbai","night","Rajasthan Royals","bat","Rajasthan Royals","199/6","Kolkata Knight Riders","190/9","Rajasthan Royals","9 runs"
"May 17, 2015","55th match","M Chinnaswamy Stadium, Bangalore","day/night","Royal Challengers Bangalore","field","Delhi Daredevils","187/5","RCB","2/0","No result",""
"May 17, 2015","56th match","Rajiv Gandhi International Stadium, Uppal, Hyderabad","night","Sunrisers Hyderabad","bat","Sunrisers Hyderabad","113","Mumbai Indians","114/1","Mumbai Indians","9 wickets (with 37 balls remaining)"
"May 19, 2015","Qualifier 1","Wankhede Stadium, Mumbai","night","Mumbai Indians","bat","Mumbai Indians","187/6","Chennai Super Kings","162","Mumbai Indians","25 runs"
"May 20, 2015","Eliminator","Maharashtra Cricket Association Stadium, Pune","night","Royal Challengers Bangalore","bat","RCB","180/4","Rajasthan Royals","109","Royal Challengers Bangalore","71 runs"
"May 22, 2015","Qualifier 2","JSCA International Stadium Complex, Ranchi","night","Chennai Super Kings","field","RCB","139/8","Chennai Super Kings","140/7","Chennai Super Kings","3 wickets (with 1 ball remaining)"
"May 24, 2015","Final","Eden Gardens, Kolkata","night","Chennai Super Kings","field","Mumbai Indians","202/5","Chennai Super Kings","161/8","Mumbai Indians","41 runs"
"Apr 9, 2016","1st match","Wankhede Stadium, Mumbai","night","Mumbai Indians","bat","Mumbai Indians","121/8","Rising Pune Supergiants","126/1","Rising Pune Supergiants","9 wickets (with 32 balls remaining)"
"Apr 10, 2016","2nd match","Eden Gardens, Kolkata","night","Kolkata Knight Riders","field","Delhi Daredevils","98","Kolkata Knight Riders","99/1","Kolkata Knight Riders","9 wickets (with 35 balls remaining)"
"Apr 11, 2016","3rd match","Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","night","Gujarat Lions","field","Kings XI Punjab","161/6","Gujarat Lions","162/5","Gujarat Lions","5 wickets (with 14 balls remaining)"
"Apr 12, 2016","4th match","M Chinnaswamy Stadium, Bangalore","night","Sunrisers Hyderabad","field","RCB","227/4","Sunrisers Hyderabad","182/6","Royal Challengers Bangalore","45 runs"
"Apr 13, 2016","5th match","Eden Gardens, Kolkata","night","Mumbai Indians","field","Kolkata Knight Riders","187/5","Mumbai Indians","188/4","Mumbai Indians","6 wickets (with 5 balls remaining)"
"Apr 14, 2016","6th match","Saurashtra Cricket Association Stadium, Rajkot","night","Rising Pune Supergiants","bat","Rising Pune Supergiants","163/5","Gujarat Lions","164/3","Gujarat Lions","7 wickets (with 12 balls remaining)"
"Apr 15, 2016","7th match","Feroz Shah Kotla, Delhi","night","Delhi Daredevils","field","Kings XI Punjab","111/9","Delhi Daredevils","113/2","Delhi Daredevils","8 wickets (with 39 balls remaining)"
"Apr 16, 2016","8th match","Rajiv Gandhi International Stadium, Uppal, Hyderabad","day/night","Sunrisers Hyderabad","bat","Sunrisers Hyderabad","142/7","Kolkata Knight Riders","146/2","Kolkata Knight Riders","8 wickets (with 10 balls remaining)"
"Apr 16, 2016","9th match","Wankhede Stadium, Mumbai","night","Gujarat Lions","field","Mumbai Indians","143/8","Gujarat Lions","147/7","Gujarat Lions","3 wickets (with 0 balls remaining)"
"Apr 17, 2016","10th match","Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","day/night","Rising Pune Supergiants","bat","Rising Pune Supergiants","152/7","Kings XI Punjab","153/4","Kings XI Punjab","6 wickets (with 8 balls remaining)"
"Apr 17, 2016","11th match","M Chinnaswamy Stadium, Bangalore","night","Delhi Daredevils","field","RCB","191/5","Delhi Daredevils","192/3","Delhi Daredevils","7 wickets (with 5 balls remaining)"
"Apr 18, 2016","12th match","Rajiv Gandhi International Stadium, Uppal, Hyderabad","night","Sunrisers Hyderabad","field","Mumbai Indians","142/6","Sunrisers Hyderabad","145/3","Sunrisers Hyderabad","7 wickets (with 15 balls remaining)"
"Apr 19, 2016","13th match","Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","night","Kolkata Knight Riders","field","Kings XI Punjab","138/8","Kolkata Knight Riders","141/4","Kolkata Knight Riders","6 wickets (with 17 balls remaining)"
"Apr 20, 2016","14th match","Wankhede Stadium, Mumbai","night","Mumbai Indians","field","RCB","170/7","Mumbai Indians","171/4","Mumbai Indians","6 wickets (with 12 balls remaining)"
"Apr 21, 2016","15th match","Saurashtra Cricket Association Stadium, Rajkot","night","Sunrisers Hyderabad","field","Gujarat Lions","135/8","Sunrisers Hyderabad","137/0","Sunrisers Hyderabad","10 wickets (with 31 balls remaining)"
"Apr 22, 2016","16th match","Maharashtra Cricket Association Stadium, Pune","night","Rising Pune Supergiants","field","RCB","185/3","Rising Pune Supergiants","172/8","Royal Challengers Bangalore","13 runs"
"Apr 23, 2016","17th match","Feroz Shah Kotla, Delhi","day/night","Mumbai Indians","field","Delhi Daredevils","164/4","Mumbai Indians","154/7","Delhi Daredevils","10 runs"
"Apr 23, 2016","18th match","Rajiv Gandhi International Stadium, Uppal, Hyderabad","night","Sunrisers Hyderabad","field","Kings XI Punjab","143/6","Sunrisers Hyderabad","146/5","Sunrisers Hyderabad","5 wickets (with 13 balls remaining)"
"Apr 24, 2016","19th match","Saurashtra Cricket Association Stadium, Rajkot","day/night","Royal Challengers Bangalore","bat","RCB","180/2","Gujarat Lions","182/4","Gujarat Lions","6 wickets (with 3 balls remaining)"
"Apr 24, 2016","20th match","Maharashtra Cricket Association Stadium, Pune","night","Kolkata Knight Riders","field","Rising Pune Supergiants","160/5","Kolkata Knight Riders","162/8","Kolkata Knight Riders","2 wickets (with 3 balls remaining)"
"Apr 25, 2016","21st match","Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","night","Kings XI Punjab","field","Mumbai Indians","189/6","Kings XI Punjab","164/7","Mumbai Indians","25 runs"
"Apr 26, 2016","22nd match","Rajiv Gandhi International Stadium, Uppal, Hyderabad","night","Rising Pune Supergiants","field","Sunrisers Hyderabad","118/8","Rising Pune Supergiants","94/3","Rising Pune Supergiants","34 runs (D/L method)"
"Apr 27, 2016","23rd match","Feroz Shah Kotla, Delhi","night","Delhi Daredevils","field","Gujarat Lions","172/6","Delhi Daredevils","171/5","Gujarat Lions","1 run"
"Apr 28, 2016","24th match","Wankhede Stadium, Mumbai","night","Mumbai Indians","field","Kolkata Knight Riders","174/5","Mumbai Indians","178/4","Mumbai Indians","6 wickets (with 12 balls remaining)"
"Apr 29, 2016","25th match","Maharashtra Cricket Association Stadium, Pune","night","Gujarat Lions","field","Rising Pune Supergiants","195/3","Gujarat Lions","196/7","Gujarat Lions","3 wickets (with 0 balls remaining)"
"Apr 30, 2016","26th match","Feroz Shah Kotla, Delhi","day/night","Kolkata Knight Riders","field","Delhi Daredevils","186/8","Kolkata Knight Riders","159","Delhi Daredevils","27 runs"
"Apr 30, 2016","27th match","Rajiv Gandhi International Stadium, Uppal, Hyderabad","night","Royal Challengers Bangalore","field","Sunrisers Hyderabad","194/5","RCB","179/6","Sunrisers Hyderabad","15 runs"
"May 1, 2016","28th match","Saurashtra Cricket Association Stadium, Rajkot","day/night","Gujarat Lions","field","Kings XI Punjab","154","Gujarat Lions","131/9","Kings XI Punjab","23 runs"
"May 1, 2016","29th match","Maharashtra Cricket Association Stadium, Pune","night","Mumbai Indians","field","Rising Pune Supergiants","159/5","Mumbai Indians","161/2","Mumbai Indians","8 wickets (with 9 balls remaining)"
"May 2, 2016","30th match","M Chinnaswamy Stadium, Bangalore","night","Kolkata Knight Riders","field","RCB","185/7","Kolkata Knight Riders","189/5","Kolkata Knight Riders","5 wickets (with 5 balls remaining)"
"May 3, 2016","31st match","Saurashtra Cricket Association Stadium, Rajkot","night","Delhi Daredevils","field","Gujarat Lions","149/7","Delhi Daredevils","150/2","Delhi Daredevils","8 wickets (with 16 balls remaining)"
"May 4, 2016","32nd match","Eden Gardens, Kolkata","night","Kings XI Punjab","field","Kolkata Knight Riders","164/3","Kings XI Punjab","157/9","Kolkata Knight Riders","7 runs"
"May 5, 2016","33rd match","Feroz Shah Kotla, Delhi","night","Rising Pune Supergiants","field","Delhi Daredevils","162/7","Rising Pune Supergiants","166/3","Rising Pune Supergiants","7 wickets (with 5 balls remaining)"
"May 6, 2016","34th match","Rajiv Gandhi International Stadium, Uppal, Hyderabad","night","Sunrisers Hyderabad","field","Gujarat Lions","126/6","Sunrisers Hyderabad","129/5","Sunrisers Hyderabad","5 wickets (with 6 balls remaining)"
"May 7, 2016","35th match","M Chinnaswamy Stadium, Bangalore","day/night","Royal Challengers Bangalore","field","Rising Pune Supergiants","191/6","RCB","195/3","Royal Challengers Bangalore","7 wickets (with 3 balls remaining)"
"May 7, 2016","36th match","Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","night","Delhi Daredevils","field","Kings XI Punjab","181/5","Delhi Daredevils","172/5","Kings XI Punjab","9 runs"
"May 8, 2016","37th match","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam","day/night","Mumbai Indians","field","Sunrisers Hyderabad","177/3","Mumbai Indians","92","Sunrisers Hyderabad","85 runs"
"May 8, 2016","38th match","Eden Gardens, Kolkata","night","Gujarat Lions","field","Kolkata Knight Riders","158/4","Gujarat Lions","164/5","Gujarat Lions","5 wickets (with 12 balls remaining)"
"May 9, 2016","39th match","Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","night","Kings XI Punjab","field","RCB","175/6","Kings XI Punjab","174/4","Royal Challengers Bangalore","1 run"
"May 10, 2016","40th match","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam","night","Sunrisers Hyderabad","bat","Sunrisers Hyderabad","137/8","Rising Pune Supergiants","133/8","Sunrisers Hyderabad","4 runs"
"May 11, 2016","41st match","M Chinnaswamy Stadium, Bangalore","night","Mumbai Indians","field","RCB","151/4","Mumbai Indians","153/4","Mumbai Indians","6 wickets (with 8 balls remaining)"
"May 12, 2016","42nd match","Rajiv Gandhi International Stadium, Uppal, Hyderabad","night","Delhi Daredevils","field","Sunrisers Hyderabad","146/8","Delhi Daredevils","150/3","Delhi Daredevils","7 wickets (with 11 balls remaining)"
"May 13, 2016","43rd match","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam","night","Mumbai Indians","bat","Mumbai Indians","124/9","Kings XI Punjab","127/3","Kings XI Punjab","7 wickets (with 18 balls remaining)"
"May 14, 2016","44th match","M Chinnaswamy Stadium, Bangalore","day/night","Gujarat Lions","field","RCB","248/3","Gujarat Lions","104","Royal Challengers Bangalore","144 runs"
"May 14, 2016","45th match","Eden Gardens, Kolkata","night","Rising Pune Supergiants","bat","Rising Pune Supergiants","103/6","Kolkata Knight Riders","66/2","Kolkata Knight Riders","8 wickets (with 24 balls remaining) (D/L method)"
"May 15, 2016","46th match","Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","day/night","Kings XI Punjab","bat","Kings XI Punjab","179/4","Sunrisers Hyderabad","180/3","Sunrisers Hyderabad","7 wickets (with 2 balls remaining)"
"May 15, 2016","47th match","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam","night","Delhi Daredevils","field","Mumbai Indians","206/4","Delhi Daredevils","126","Mumbai Indians","80 runs"
"May 16, 2016","48th match","Eden Gardens, Kolkata","night","Royal Challengers Bangalore","field","Kolkata Knight Riders","183/5","RCB","186/1","Royal Challengers Bangalore","9 wickets (with 8 balls remaining)"
"May 17, 2016","49th match","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam","night","Rising Pune Supergiants","field","Delhi Daredevils","121/6","Rising Pune Supergiants","76/1","Rising Pune Supergiants","19 runs (D/L method)"
"May 18, 2016","50th match","M Chinnaswamy Stadium, Bangalore","night","Kings XI Punjab","field","RCB","211/3","Kings XI Punjab","120/9","Royal Challengers Bangalore","82 runs (D/L method)"
"May 19, 2016","51st match","Green Park, Kanpur","night","Gujarat Lions","field","Kolkata Knight Riders","124/8","Gujarat Lions","125/4","Gujarat Lions","6 wickets (with 39 balls remaining)"
"May 20, 2016","52nd match","Shaheed Veer Narayan Singh International Stadium, Raipur","night","Delhi Daredevils","field","Sunrisers Hyderabad","158/7","Delhi Daredevils","161/4","Delhi Daredevils","6 wickets (with 0 balls remaining)"
"May 21, 2016","53rd match","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam","day/night","Kings XI Punjab","bat","Kings XI Punjab","172/7","Rising Pune Supergiants","173/6","Rising Pune Supergiants","4 wickets (with 0 balls remaining)"
"May 21, 2016","54th match","Green Park, Kanpur","night","Gujarat Lions","field","Mumbai Indians","172/8","Gujarat Lions","173/4","Gujarat Lions","6 wickets (with 13 balls remaining)"
"May 22, 2016","55th match","Eden Gardens, Kolkata","day/night","Sunrisers Hyderabad","field","Kolkata Knight Riders","171/6","Sunrisers Hyderabad","149/8","Kolkata Knight Riders","22 runs"
"May 22, 2016","56th match","Shaheed Veer Narayan Singh International Stadium, Raipur","night","Royal Challengers Bangalore","field","Delhi Daredevils","138/8","RCB","139/4","Royal Challengers Bangalore","6 wickets (with 11 balls remaining)"
"May 24, 2016","Qualifier 1","M Chinnaswamy Stadium, Bangalore","night","Royal Challengers Bangalore","field","Gujarat Lions","158","RCB","159/6","Royal Challengers Bangalore","4 wickets (with 10 balls remaining)"
"May 25, 2016","Eliminator","Feroz Shah Kotla, Delhi","night","Kolkata Knight Riders","field","Sunrisers Hyderabad","162/8","Kolkata Knight Riders","140/8","Sunrisers Hyderabad","22 runs"
"May 27, 2016","Qualifier 2","Feroz Shah Kotla, Delhi","night","Sunrisers Hyderabad","field","Gujarat Lions","162/7","Sunrisers Hyderabad","163/6","Sunrisers Hyderabad","4 wickets (with 4 balls remaining)"
"May 29, 2016","Final","M Chinnaswamy Stadium, Bangalore","night","Sunrisers Hyderabad","bat","Sunrisers Hyderabad","208/7","RCB","200/7","Sunrisers Hyderabad","8 runs"
"Apr 5, 2017","1st match","Rajiv Gandhi International Stadium, Uppal, Hyderabad","night","Royal Challengers Bangalore","field","Sunrisers Hyderabad","207/4","RCB","172","Sunrisers Hyderabad","35 runs"
"Apr 6, 2017","2nd match","Maharashtra Cricket Association Stadium, Pune","night","Rising Pune Supergiant","field","Mumbai Indians","184/8","Rising Pune Supergiant","187/3","Rising Pune Supergiant","7 wickets (with 1 ball remaining)"
"Apr 7, 2017","3rd match","Saurashtra Cricket Association Stadium, Rajkot","night","Kolkata Knight Riders","field","Gujarat Lions","183/4","Kolkata Knight Riders","184/0","Kolkata Knight Riders","10 wickets (with 31 balls remaining)"
"Apr 8, 2017","4th match","Holkar Cricket Stadium, Indore","day/night","Kings XI Punjab","field","Rising Pune Supergiant","163/6","Kings XI Punjab","164/4","Kings XI Punjab","6 wickets (with 6 balls remaining)"
"Apr 8, 2017","5th match","M Chinnaswamy Stadium, Bangalore","night","Royal Challengers Bangalore","bat","RCB","157/8","Delhi Daredevils","142/9","Royal Challengers Bangalore","15 runs"
"Apr 9, 2017","6th match","Rajiv Gandhi International Stadium, Uppal, Hyderabad","day/night","Sunrisers Hyderabad","field","Gujarat Lions","135/7","Sunrisers Hyderabad","140/1","Sunrisers Hyderabad","9 wickets (with 27 balls remaining)"
"Apr 9, 2017","7th match","Wankhede Stadium, Mumbai","night","Mumbai Indians","field","Kolkata Knight Riders","178/7","Mumbai Indians","180/6","Mumbai Indians","4 wickets (with 1 ball remaining)"
"Apr 10, 2017","8th match","Holkar Cricket Stadium, Indore","night","Royal Challengers Bangalore","bat","RCB","148/4","Kings XI Punjab","150/2","Kings XI Punjab","8 wickets (with 33 balls remaining)"
"Apr 11, 2017","9th match","Maharashtra Cricket Association Stadium, Pune","night","Rising Pune Supergiant","field","Delhi Daredevils","205/4","Rising Pune Supergiant","108","Delhi Daredevils","97 runs"
"Apr 12, 2017","10th match","Wankhede Stadium, Mumbai","night","Mumbai Indians","field","Sunrisers Hyderabad","158/8","Mumbai Indians","159/6","Mumbai Indians","4 wickets (with 8 balls remaining)"
"Apr 13, 2017","11th match","Eden Gardens, Kolkata","night","Kolkata Knight Riders","field","Kings XI Punjab","170/9","Kolkata Knight Riders","171/2","Kolkata Knight Riders","8 wickets (with 21 balls remaining)"
"Apr 14, 2017","12th match","M Chinnaswamy Stadium, Bangalore","day/night","Mumbai Indians","field","RCB","142/5","Mumbai Indians","145/6","Mumbai Indians","4 wickets (with 7 balls remaining)"
"Apr 14, 2017","13th match","Saurashtra Cricket Association Stadium, Rajkot","night","Gujarat Lions","field","Rising Pune Supergiant","171/8","Gujarat Lions","172/3","Gujarat Lions","7 wickets (with 12 balls remaining)"
"Apr 15, 2017","14th match","Eden Gardens, Kolkata","day/night","Sunrisers Hyderabad","field","Kolkata Knight Riders","172/6","Sunrisers Hyderabad","155/6","Kolkata Knight Riders","17 runs"
"Apr 15, 2017","15th match","Feroz Shah Kotla, Delhi","night","Delhi Daredevils","bat","Delhi Daredevils","188/6","Kings XI Punjab","137/9","Delhi Daredevils","51 runs"
"Apr 16, 2017","16th match","Wankhede Stadium, Mumbai","day/night","Mumbai Indians","field","Gujarat Lions","176/4","Mumbai Indians","177/4","Mumbai Indians","6 wickets (with 3 balls remaining)"
"Apr 16, 2017","17th match","M Chinnaswamy Stadium, Bangalore","night","Royal Challengers Bangalore","field","Rising Pune Supergiant","161/8","RCB","134/9","Rising Pune Supergiant","27 runs"
"Apr 17, 2017","18th match","Feroz Shah Kotla, Delhi","day/night","Delhi Daredevils","bat","Delhi Daredevils","168/7","Kolkata Knight Riders","169/6","Kolkata Knight Riders","4 wickets (with 1 ball remaining)"
"Apr 17, 2017","19th match","Rajiv Gandhi International Stadium, Uppal, Hyderabad","night","Kings XI Punjab","field","Sunrisers Hyderabad","159/6","Kings XI Punjab","154","Sunrisers Hyderabad","5 runs"
"Apr 18, 2017","20th match","Saurashtra Cricket Association Stadium, Rajkot","night","Gujarat Lions","field","RCB","213/2","Gujarat Lions","192/7","Royal Challengers Bangalore","21 runs"
"Apr 19, 2017","21st match","Rajiv Gandhi International Stadium, Uppal, Hyderabad","night","Sunrisers Hyderabad","bat","Sunrisers Hyderabad","191/4","Delhi Daredevils","176/5","Sunrisers Hyderabad","15 runs"
"Apr 20, 2017","22nd match","Holkar Cricket Stadium, Indore","night","Mumbai Indians","field","Kings XI Punjab","198/4","Mumbai Indians","199/2","Mumbai Indians","8 wickets (with 27 balls remaining)"
"Apr 21, 2017","23rd match","Eden Gardens, Kolkata","night","Gujarat Lions","field","Kolkata Knight Riders","187/5","Gujarat Lions","188/6","Gujarat Lions","4 wickets (with 10 balls remaining)"
"Apr 22, 2017","24th match","Maharashtra Cricket Association Stadium, Pune","day/night","Rising Pune Supergiant","field","Sunrisers Hyderabad","176/3","Rising Pune Supergiant","179/4","Rising Pune Supergiant","6 wickets (with 0 balls remaining)"
"Apr 22, 2017","25th match","Wankhede Stadium, Mumbai","night","Delhi Daredevils","field","Mumbai Indians","142/8","Delhi Daredevils","128/7","Mumbai Indians","14 runs"
"Apr 23, 2017","26th match","Saurashtra Cricket Association Stadium, Rajkot","day/night","Gujarat Lions","field","Kings XI Punjab","188/7","Gujarat Lions","162/7","Kings XI Punjab","26 runs"
"Apr 23, 2017","27th match","Eden Gardens, Kolkata","night","Royal Challengers Bangalore","field","Kolkata Knight Riders","131","RCB","49","Kolkata Knight Riders","82 runs"
"Apr 24, 2017","28th match","Wankhede Stadium, Mumbai","night","Mumbai Indians","field","Rising Pune Supergiant","160/6","Mumbai Indians","157/8","Rising Pune Supergiant","3 runs"
"Apr 25, 2017","29th match","M Chinnaswamy Stadium, Bangalore","night","no toss","no","RCB","","Sunrisers Hyderabad","","Match abandoned without a ball bowled",""
"Apr 26, 2017","30th match","Maharashtra Cricket Association Stadium, Pune","night","Kolkata Knight Riders","field","Rising Pune Supergiant","182/5","Kolkata Knight Riders","184/3","Kolkata Knight Riders","7 wickets (with 11 balls remaining)"
"Apr 27, 2017","31st match","M Chinnaswamy Stadium, Bangalore","night","Gujarat Lions","field","RCB","134","Gujarat Lions","135/3","Gujarat Lions","7 wickets (with 37 balls remaining)"
"Apr 28, 2017","32nd match","Eden Gardens, Kolkata","day/night","Kolkata Knight Riders","field","Delhi Daredevils","160/6","Kolkata Knight Riders","161/3","Kolkata Knight Riders","7 wickets (with 22 balls remaining)"
"Apr 28, 2017","33rd match","Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","night","Kings XI Punjab","field","Sunrisers Hyderabad","207/3","Kings XI Punjab","181/9","Sunrisers Hyderabad","26 runs"
"Apr 29, 2017","34th match","Maharashtra Cricket Association Stadium, Pune","day/night","Royal Challengers Bangalore","field","Rising Pune Supergiant","157/3","RCB","96/9","Rising Pune Supergiant","61 runs"
"Apr 29, 2017","35th match","Saurashtra Cricket Association Stadium, Rajkot","night","Gujarat Lions","bat","Gujarat Lions","153/9","Mumbai Indians","153","Match tied (Mumbai Indians",""
"Apr 30, 2017","36th match","Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","day/night","Kings XI Punjab","field","Delhi Daredevils","67","Kings XI Punjab","68/0","Kings XI Punjab","10 wickets (with 73 balls remaining)"
"Apr 30, 2017","37th match","Rajiv Gandhi International Stadium, Uppal, Hyderabad","night","Kolkata Knight Riders","field","Sunrisers Hyderabad","209/3","Kolkata Knight Riders","161/7","Sunrisers Hyderabad","48 runs"
"May 1, 2017","38th match","Wankhede Stadium, Mumbai","day/night","Royal Challengers Bangalore","bat","RCB","162/8","Mumbai Indians","165/5","Mumbai Indians","5 wickets (with 1 ball remaining)"
"May 1, 2017","39th match","Maharashtra Cricket Association Stadium, Pune","night","Rising Pune Supergiant","field","Gujarat Lions","161","Rising Pune Supergiant","167/5","Rising Pune Supergiant","5 wickets (with 1 ball remaining)"
"May 2, 2017","40th match","Feroz Shah Kotla, Delhi","night","Delhi Daredevils","field","Sunrisers Hyderabad","185/3","Delhi Daredevils","189/4","Delhi Daredevils","6 wickets (with 5 balls remaining)"
"May 3, 2017","41st match","Eden Gardens, Kolkata","night","Rising Pune Supergiant","field","Kolkata Knight Riders","155/8","Rising Pune Supergiant","158/6","Rising Pune Supergiant","4 wickets (with 4 balls remaining)"
"May 4, 2017","42nd match","Feroz Shah Kotla, Delhi","night","Delhi Daredevils","field","Gujarat Lions","208/7","Delhi Daredevils","214/3","Delhi Daredevils","7 wickets (with 15 balls remaining)"
"May 5, 2017","43rd match","M Chinnaswamy Stadium, Bangalore","night","Royal Challengers Bangalore","field","Kings XI Punjab","138/7","RCB","119","Kings XI Punjab","19 runs"
"May 6, 2017","44th match","Rajiv Gandhi International Stadium, Uppal, Hyderabad","day/night","Sunrisers Hyderabad","field","Rising Pune Supergiant","148/8","Sunrisers Hyderabad","136/9","Rising Pune Supergiant","12 runs"
"May 6, 2017","45th match","Feroz Shah Kotla, Delhi","night","Delhi Daredevils","field","Mumbai Indians","212/3","Delhi Daredevils","66","Mumbai Indians","146 runs"
"May 7, 2017","46th match","M Chinnaswamy Stadium, Bangalore","day/night","Kolkata Knight Riders","field","RCB","158/6","Kolkata Knight Riders","159/4","Kolkata Knight Riders","6 wickets (with 29 balls remaining)"
"May 7, 2017","47th match","Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","night","Gujarat Lions","field","Kings XI Punjab","189/3","Gujarat Lions","192/4","Gujarat Lions","6 wickets (with 2 balls remaining)"
"May 8, 2017","48th match","Rajiv Gandhi International Stadium, Uppal, Hyderabad","night","Mumbai Indians","bat","Mumbai Indians","138/7","Sunrisers Hyderabad","140/3","Sunrisers Hyderabad","7 wickets (with 10 balls remaining)"
"May 9, 2017","49th match","Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","night","Kolkata Knight Riders","field","Kings XI Punjab","167/6","Kolkata Knight Riders","153/6","Kings XI Punjab","14 runs"
"May 10, 2017","50th match","Green Park, Kanpur","night","Delhi Daredevils","field","Gujarat Lions","195/5","Delhi Daredevils","197/8","Delhi Daredevils","2 wickets (with 2 balls remaining)"
"May 11, 2017","51st match","Wankhede Stadium, Mumbai","night","Mumbai Indians","field","Kings XI Punjab","230/3","Mumbai Indians","223/6","Kings XI Punjab","7 runs"
"May 12, 2017","52nd match","Feroz Shah Kotla, Delhi","night","Delhi Daredevils","bat","Delhi Daredevils","168/8","Rising Pune Supergiant","161/7","Delhi Daredevils","7 runs"
"May 13, 2017","53rd match","Green Park, Kanpur","day/night","Sunrisers Hyderabad","field","Gujarat Lions","154","Sunrisers Hyderabad","158/2","Sunrisers Hyderabad","8 wickets (with 11 balls remaining)"
"May 13, 2017","54th match","Eden Gardens, Kolkata","night","Kolkata Knight Riders","field","Mumbai Indians","173/5","Kolkata Knight Riders","164/8","Mumbai Indians","9 runs"
"May 14, 2017","55th match","Maharashtra Cricket Association Stadium, Pune","day/night","Rising Pune Supergiant","field","Kings XI Punjab","73","Rising Pune Supergiant","78/1","Rising Pune Supergiant","9 wickets (with 48 balls remaining)"
"May 14, 2017","56th match","Feroz Shah Kotla, Delhi","night","Royal Challengers Bangalore","bat","RCB","161/6","Delhi Daredevils","151","Royal Challengers Bangalore","10 runs"
"May 16, 2017","Qualifier 1","Wankhede Stadium, Mumbai","night","Mumbai Indians","field","Rising Pune Supergiant","162/4","Mumbai Indians","142/9","Rising Pune Supergiant","20 runs"
"May 17, 2017","Eliminator","M Chinnaswamy Stadium, Bangalore","night","Kolkata Knight Riders","field","Sunrisers Hyderabad","128/7","Kolkata Knight Riders","48/3","Kolkata Knight Riders","7 wickets (with 4 balls remaining) (D/L method)"
"May 19, 2017","Qualifier 2","M Chinnaswamy Stadium, Bangalore","night","Mumbai Indians","field","Kolkata Knight Riders","107","Mumbai Indians","111/4","Mumbai Indians","6 wickets (with 33 balls remaining)"
"May 21, 2017","Final","Rajiv Gandhi International Stadium, Uppal, Hyderabad","night","Mumbai Indians","bat","Mumbai Indians","129/8","Rising Pune Supergiant","128/6","Mumbai Indians","1 run"
